Equipment,DP_OPT_TAG
GT C1,DP_OPT_RUNNING_STATUS_GT_C1
GT C2,DP_OPT_RUNNING_STATUS_GT_C2
GT C4,DP_OPT_RUNNING_STATUS_GT_HRSG_C4
GT C5,DP_OPT_RUNNING_STATUS_GT_HRSG_C5
GT R5,DP_OPT_RUNNING_STATUS_GT_HRSG_R5
GT R6,DP_OPT_RUNNING_STATUS_GT_HRSG_R6
STG C3,DP_OPT_RUNNING_STATUS_STG_C3
STG R2,DP_OPT_RUNNING_STATUS_STG_R2
STG R3,DP_OPT_RUNNING_STATUS_STG_R3
STG R4,DP_OPT_RUNNING_STATUS_STG_R4
