tag,DP_OPT  Tag,eqpt,Equipment,MIN,MAX,description
HP BFW Inlet Enthalpy R6,DP_OPT_HPBFWIN_ENTHALPY_RSC_R6_HRSG_BTULB,GT R6, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_R6'].values[0] ,250,320,HRSG R6 HP BFW Inlet Specific Enthalpy 
HP Steam Outlet Enthalpy R6,DP_OPT_HPSTMOL_ENTHALPY_RSC_R6_HRSG_BTULB,GT R6, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_R6'].values[0] ,1200,1500,HRSG R6 HPS Outlet Specific Enthalpy 
06D-FAHL6114A,DP_OPT_STM_LP_RSC_GEN_R6_HRSG_LBH,GT R6, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_R6'].values[0] ,0,100,HRSG R6 LP STEAM FLOW COMP
LP Steam Outlet Enthalpy R6,DP_OPT_LPSTMOL_ENTHALPY_RSC_R6_HRSG_BTULB,GT R6, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_R6'].values[0] ,1000,1300,HRSG R6 LPS Outlet Specific Enthalpy 
06D-FAHL6919B,DP_OPT_COND_FLOW_RSC_R6_HRSG_KPPH,GT R6, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_R6'].values[0] ,300,700,HRSG R6 Finish COND Flow
06D-T6935,DP_OPT_ECONOMISER_FC_IN_TEMP_R6_HRSG_F,GT R6, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_R6'].values[0] ,100,200,GT R6 Economiser FC Inlet temp
06D-T5911,DP_OPT_ECONOMIZER_FC_OUT_TEMP_R5_HRSG_F,GT R5, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_R5'].values[0] ,100,250,GT R5 Economiser FC outet temp
06D-FAHL6017A,DP_OPT_HPSTMOL_FLOW_RSC_R6_HRSG_KPPH,GT R6, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_R6'].values[0] ,300,550,HRSG R6 HRSG HPS Outlet Flow
1250# Steam Inlet Enthalpy C3,DP_OPT_1250_STMIL_ENTHALPY_PHC_C3_STG_BTULB,STG C3, input_df['DP_OPT_RUNNING_STATUS_STG_C3'].values[0]  ,1370,1480,STG C3 1250 Steam Inlet Specific Enthalpy to Turbine 
400# Steam Outlet Enthalpy C3,DP_OPT_400_STMOL_ENTHALPY_PHC_C3_STG_BTULB,STG C3, input_df['DP_OPT_RUNNING_STATUS_STG_C3'].values[0]  ,1300,1430,STG C3 400 Extraction Steam outlet Specific Enthalpy
175# Steam Outlet Enthalpy C3,DP_OPT_175_STMOL_ENTHALPY_PHC_C3_STG_BTULB,STG C3, input_df['DP_OPT_RUNNING_STATUS_STG_C3'].values[0]  ,1250,1400,STG C3 175 Extraction Steam outlet Specific Enthalpy
06C-J1104A.PV,DP_OPT_PWR_PHC_GEN_C3_STG_MW,STG C3, input_df['DP_OPT_RUNNING_STATUS_STG_C3'].values[0]  ,10,60,STG C3 Power Generation in MW
06D-R4THROTTLE,DP_OPT_STM_RSC_GEN_R4_TOT_EXHST_KLBH,STG R4, input_df['DP_OPT_RUNNING_STATUS_STG_R4'].values[0] ,800,1200,STG R4 Total Exhaust Steam
1900# Steam Inlet Enthalpy R4,DP_OPT_1900_STMIL_ENTHALPY_RSC_R4_STG_BTULB,STG R4, input_df['DP_OPT_RUNNING_STATUS_STG_R4'].values[0] ,1300,1500,STG R4 1900 Steam Inlet Specific Enthalpy to Turbine 
600# Steam Outlet Enthaply R4,DP_OPT_600_STMOL_ENTHALPY_RSC_R4_STG_BTULB,STG R4, input_df['DP_OPT_RUNNING_STATUS_STG_R4'].values[0] ,1300,1500,STG R4 600 Extraction Steam outlet Specific Enthalpy
06D-R4_IP_FLOW,DP_OPT_STM_RSC_GEN_R4_IP_EXHST_KLBH,STG R4, input_df['DP_OPT_RUNNING_STATUS_STG_R4'].values[0] ,350,550,STG R4 IP Exhaust Steam
