tag_id,tag_alias
15465,DP_OPT_1900_STMIL_ENTHALPY_RS_R3_STG_BTULB
15466,DP_OPT_CONDSTM_ENTHALPY_RS_R3_STG_BTULB
15467,DP_OPT_PWR_RS_GEN_R3_STG_MW
15468,DP_OPT_PWR_GSU_TOTAL_EXPORT_PNT_MW
15469,DP_OPT_AXIALL_LMP_PRICE_DOLLARPMWH
15470,DP_OPT_HENRY_HUB_NG_PRICE_DOLLARPMMBTU
15471,DP_OPT_PWR_PLANTC_CL2_CONS_CKT11_KA
15472,DP_OPT_PWR_PLANTC_CL2_CONS_CKT12_KA
15473,DP_OPT_PWR_PLANTC_CL2_CONS_CKT13_KA
15474,DP_OPT_PWR_PLANTC_CL2_CONS_CKT14_KA
15475,DP_OPT_PWR_PLANTC_CL2_CONS_CKT15_KA
15476,DP_OPT_PWR_PLANTC_CL2_CONS_CKT16_KA
15477,DP_OPT_PWR_PLANTC_CL2_CONS_CKT17_KA
15478,DP_OPT_PWR_PLANTC_CL2_CONS_CKT18_KA
15479,DP_OPT_PWR_PLANTC_CL2_CONS_CKT19_KA
15480,DP_OPT_600STM_CONS_TO_PROCESS_400_KLBH
15481,DP_OPT_400STM_PHC_CONS_400_TO_PRCS_LBH
15482,DP_OPT_ENTHALPY_400_STM_PROCESS_BTULB
15483,DP_OPT_175STM_PHC_CONS_15_TO_PRCS_LBH
15484,DP_OPT_ENTHALPY_175_STM_PROCESS_BTULB
15485,DP_OPT_STM_PHC_CONS_PRDS_175_30_LBH
15486,DP_OPT_STM_CONS_PRDS_175_30_LBH
15487,DP_OPT_STM_EXPORT_LACC_1250_600_LBH
15488,DP_OPT_H2_EXPORT_CONS_PRAXAIR_MMSCFD
15489,DP_OPT_NG_SPECIFIC_GRAVITY_PERCENT
15490,DP_OPT_LPSTMOL_ENTHALPY_PHC_C4_HRSG_BTULB
15491,DP_OPT_175STM_PHC_GEN_C3_STG_LBH
15492,DP_OPT_RUNNING_STATUS_GT_C1
15493,DP_OPT_RUNNING_STATUS_BLR_C1
15494,DP_OPT_RUNNING_STATUS_GT_C2
15495,DP_OPT_RUNNING_STATUS_BLR_C2
15496,DP_OPT_RUNNING_STATUS_GT_HRSG_C4
15497,DP_OPT_RUNNING_STATUS_GT_HRSG_C5
15498,DP_OPT_RUNNING_STATUS_GT_HRSG_R5
15499,DP_OPT_RUNNING_STATUS_GT_HRSG_R6
15500,DP_OPT_RUNNING_STATUS_STG_C3
15501,DP_OPT_RUNNING_STATUS_STG_R4
15502,DP_OPT_RUNNING_STATUS_STG_R2
15503,DP_OPT_RUNNING_STATUS_STG_R3
15504,DP_OPT_HPBFW_RSC_CONS_R5_HRSG_KLBH
15505,DP_OPT_HPBFW_RSC_CONS_R6_HRSG_KLBH
15506,DP_OPT_1250STM_PHC_GEN_C1_BOILER_LBH
15507,DP_OPT_1250STM_PHC_GEN_C2_BOILER_LBH
15508,DP_OPT_1250STM_PHC_GEN_C4_HRSG_LBH
15509,DP_OPT_1250STM_PHC_GEN_C5_HRSG_LBH
15510,DP_OPT_STM_PHC_CONS_PRDS_1250_400_LBH
15511,DP_OPT_400STM_PHC_GEN_C3_STG_LBH
15512,DP_OPT_STM_PHC_GEN_PRDS_1250_400_LBH
15513,DP_OPT_STM_PHC_CONS_PRDS_400_175_LBH
15514,DP_OPT_STM_PHC_GEN_PRDS_400_175_LBH
15515,DP_OPT_175STM_PHC_GEN_C4_HRSG_LBH
15516,DP_OPT_STM_CONS_PRDS_400_175_LBH
15517,DP_OPT_175STM_PHC_CONS_PRV1_5_LBH
15518,DP_OPT_175STM_PHC_CONS_PRV2_5_LBH
15519,DP_OPT_175STM_PHC_CONS_PRV3_5_LBH
15520,DP_OPT_30STM_PHC_GEN_C4_HRSG_LBH
15521,DP_OPT_30STM_PHC_GEN_C5_HRSG_LBH
15522,DP_OPT_REVENUE_POWER_WITHIN_WL_DOLLARS
15523,DP_OPT_REVENUE_STEAM_WITHIN_WL_DOLLARS
15524,DP_OPT_REVENUE_STEAM_EXPORT_LACC_DOLLARS
15525,DP_OPT_COST_POWER_PURCHASED_DOLLARS
15526,DP_OPT_175_EXT_STMOL_FLOW_PHC_C3_STG_LBH
15527,DP_OPT_TRANSITION_STATE_GT_C1
15528,DP_OPT_TRANSITION_STATE_BLR_C1
15529,DP_OPT_TRANSITION_STATE_GT_C2
15530,DP_OPT_TRANSITION_STATE_BLR_C2
15531,DP_OPT_TRANSITION_STATE_GT_HRSG_C4
15532,DP_OPT_TRANSITION_STATE_GT_HRSG_C5
15533,DP_OPT_TRANSITION_STATE_GT_HRSG_R5
15534,DP_OPT_TRANSITION_STATE_GT_HRSG_R6
15535,DP_OPT_TRANSITION_STATE_STG_C3
15536,DP_OPT_TRANSITION_STATE_STG_R4
15537,DP_OPT_TRANSITION_STATE_STG_R2
15538,DP_OPT_TRANSITION_STATE_STG_R3
15539,DP_OPT_TRANSFORMER_T1_STATUS
15540,DP_OPT_TRANSFORMER_T2_STATUS
15541,DP_OPT_175_STMOL_FLOW_PHC_C3_STG_LBH
15542,DP_OPT_35_EXTSTM_HEATFL_PHC_R4_STG_MMBTUHR
15543,DP_OPT_CONDOL_TEMP_RS_R3_STG_F
15544,DP_OPT_PROFIT_POWERHOUSE_DOLLARS
15545,DP_OPT_REVENUE_POWER_EXPORT_DOLLARS
15546,DP_OPT_COST_FUEL_WITHIN_POWERHOUSE_DOLLARS
15547,DP_OPT_POWER_EXPORT_MW
15548,DP_OPT_TOTAL_PWR_GEN_MW
15549,DP_OPT_600STM_RSC_GEN_R4_STG_KPPH
15556,DP_OPT_POWER_TO_CIRCUITS_MW
15579,DP_OPT_BFW_FLOW_PHC_C2_HRSG_LBH
15580,DP_OPT_BFW_TEMP_PHC_C1_HRSG_F
15581,DP_OPT_DISC_TEMP_PHC_C4_GT_F
15583,DP_OPT_LPBFW_OPENING_PHC_C4_HRSG_PRCNT
15584,DP_OPT_MODE_GT_Boiler_C1
15585,DP_OPT_MODE_BOILER_ONLY_C1
15586,DP_OPT_MODE_GT_Boiler_C2
15587,DP_OPT_MODE_BOILER_ONLY_C2
15620,DP_OPT_LETDOWN_1900_TO_600_KLBH
15621,DP_OPT_STEAM_VENTING_LBH
15618,DP_OPT_POWER_PURCHASED_MW
15619,DP_OPT_C_POWER_WITHIN_POWERHOUSE_MW
15748,DP_OPT_C_TOTAL_LETDOWN_175_30_LBH
15749,DP_OPT_C_600HEADER_IMBALANCE_KLBH
15750,DP_OPT_C_STG_R4_IMBALANCE_KLBH
15751,DP_OPT_C_STG_C3_IMBALANCE_LBH
15747,DP_OPT_C_TOTAL_LETDOWN_400_175_LBH
17995,DP_OPT_COMPRSR_C2_OUTLT_TEMP_B_DEGF
18919,DP_OPT_C_TOTAL_POWER_GEN_MW
18920,DP_OPT_C_TTL_POWER_GEN_STATUS_MW
18930,DP_OPT_C_TOTAL_NG_CONS_MMSCFD
18931,DP_OPT_C_TTL_NG_CONS_RUN_MMSCFD
19609,DP_OPT_GT_C1_BASELOADED
19610,DP_OPT_GT_C2_BASELOADED
19611,DP_OPT_GT_C4_BASELOADED
19612,DP_OPT_GT_C5_BASELOADED
19521,DP_OPT_C_ERR_YPRED_YACT_GT_C1
19522,DP_OPT_C_ERR_YPRED_YACT_GT_C2
19523,DP_OPT_C_ERR_YPRED_YACT_GT_C4
19524,DP_OPT_C_ERR_YPRED_YACT_GT_C5
19525,DP_OPT_C_ERR_YPRED_YACT_GT_R5
19526,DP_OPT_C_ERR_YPRED_YACT_GT_R6
19527,DP_OPT_C_ERR_YPRED_YACT_GTB_C1
19528,DP_OPT_C_ERR_YPRED_YACT_BLR_C1
19529,DP_OPT_C_ERR_YPRED_YACT_GTB_C2
19530,DP_OPT_C_ERR_YPRED_YACT_BLR_C2
19531,DP_OPT_C_ERR_YPRED_YACT_HRSG_C4
19532,DP_OPT_C_ERR_YPRED_YACT_HRSG_C5
19533,DP_OPT_C_ERR_YPRED_YACT_HRSG_R5
19534,DP_OPT_C_ERR_YPRED_YACT_HRSG_R6
19535,DP_OPT_C_ERR_YPRED_YACT_STG_C3
19536,DP_OPT_C_ERR_YPRED_YACT_STG_R2
19537,DP_OPT_C_ERR_YPRED_YACT_STG_R3
19538,DP_OPT_C_ERR_YPRED_YACT_STG_R4
18921,DP_OPT_NG_PHC_GEN_C1_BOILER_SCFH
18922,DP_OPT_NG_PHC_GEN_C2_BOILER_SCFH
20920,DP_OPT_C_Letdown_1900_600_KLBH
20926,DP_OPT_HRATE_PHC_C1_GT_BTUKWH
20927,DP_OPT_HRATE_PHC_C2_GT_BTUKWH
20928,DP_OPT_HRATE_PHC_C4_GT_BTUKWH
20929,DP_OPT_HRATE_PHC_C5_GT_BTUKWH
20930,DP_OPT_HRATE_RSC_R5_GT_BTUKWH
20931,DP_OPT_HRATE_RSC_R6_GT_BTUKWH
20932,DP_OPT_HRATE_PHC_C3_STG_BTUKWH
20933,DP_OPT_HRATE_RSC_R2_STG_BTUKWH
20934,DP_OPT_HRATE_RSC_R3_STG_BTUKWH
20935,DP_OPT_HRATE_RSC_R4_STG_BTUKWH
20936,DP_OPT_C_GT_R5_BASELOADED
20937,DP_OPT_C_GT_R6_BASELOADED
