,variable,min,max,opt_value
0,profit,-100000,100000,13108.314236
1,power_export_dollar,0,1000000,4595.64459
2,total_fuel_within_PH_dollar,0,1000000,10196.47276
3,total_power_export_MW,0,360,70.148445607
4,GT_C1_NG_Flow_SCFH,400000,1000000,757336.23369
5,GT_C2_NG_Flow_SCFH,400000,1000000,740983.58381
6,GT_C4_NG_Flow_SCFH,400000,1000000,989873.86264
7,GT_C5_NG_Flow_SCFH,400000,1000000,1000000.0
8,GT_R5_NG_Flow_KPPH,40,90,4.0334034325e-40
9,GT_R6_NG_Flow_KPPH,40,90,4.0334034325e-40
10,FHRSG_C1_NG_SCFH,0,1000000,291611.28445
11,FHRSG_C2_NG_SCFH,0,1000000,50000.0
12,HRSG_R5_Steam_Gen_1900_KLBH,200,600,0.0
13,HRSG_R6_Steam_Gen_1900_KLBH,200,600,7.2399243108e-41
14,STG_C3_Steam_Cons_1250_LBH,600000,1400000,1238000.0925
15,STG_R2_Steam_Cons_600_KLBH,10,350,0.0
16,STG_R3_Steam_Cons_600_KLBH,10,350,1.9395278444e-39
17,STG_R4_Steam_Cons_1900_KLBH,450,1100,2.2528329524e-38
18,GT_C1_Power_MW,40,70,65.0
19,GT_C2_Power_MW,30,70,65.0
20,GT_C4_Power_MW,30,90,85.0
21,GT_C5_Power_MW,20,90,80.261802886
22,GT_R5_Power_MW,80,200,0.0
23,GT_R6_Power_MW,80,200,0.0
24,STG_C3_Power_MW,40,70,40.616714302
25,STG_R2_Power_MW,40,70,0.0
26,STG_R3_Power_MW,40,70,0.0
27,STG_R4_Power_MW,40,70,6.9649189746e-41
28,Power_Gen_MW,0,800,335.87851934
29,Letdown_1900_TO_600_KLBH,0,1000000,2.6687275492
30,BLR_C1_Steam_Gen_1250_LBH,30000,750000,575535.25304
31,BLR_C2_Steam_Gen_1250_LBH,30000,700000,405912.93429
32,HRSG_C4_Steam_Gen_1250_LBH,150000,300000,246530.14709
33,HRSG_C5_Steam_Gen_1250_LBH,100000,260000,257440.51307
34,Letdown_1250_TO_400_LBH,0,1400000,5.5580227383e-07
35,STG_R4_Steam_Gen_600_KLBH,100000,1000,38.638445284
36,STG_C3_Steam_Gen_400_LBH,100000,700000,750000.0
37,Letdown_1250_TO_400_LBH,0,1400000,5.5580227383e-07
38,Letdown_From_400_TO_175_LBH,0,1300000,252732.18083
39,Letdown_From_400_TO_175_LBH,0,1300000,252732.18083
40,Letdown_From_175_TO_30_LBH,0,700000,271293.4661
41,STEAM_VENTING_LBH,0,1000000,212747.00366
