,optimized,actual value,optimized value
0,profit,11769.440514275164,13108.314236
1,power_export_dollar,1788.2284524910347,4595.64459
2,total_fuel_within_PH_dollar,8727.9303441408,10196.47276
3,total_power_export_MW,27.295724,70.148445607
4,GT_C1_NG_Flow_SCFH,664448.59,757336.23369
5,GT_C2_NG_Flow_SCFH,672789.3583333333,740983.58381
6,GT_C4_NG_Flow_SCFH,860485.0666666668,989873.86264
7,GT_C5_NG_Flow_SCFH,809545.93,1000000.0
8,GT_R5_NG_Flow_KPPH,0.0,4.0334034325e-40
9,GT_R6_NG_Flow_KPPH,0.0,4.0334034325e-40
10,FHRSG_C1_NG_SCFH,94495.22283333332,291611.28445
11,FHRSG_C2_NG_SCFH,176454.86166666666,50000.0
12,HRSG_R5_Steam_Gen_1900_KLBH,10.372624333333333,0.0
13,HRSG_R6_Steam_Gen_1900_KLBH,0.0,7.2399243108e-41
14,STG_C3_Steam_Cons_1250_LBH,984834.9566666655,1238000.0925
15,STG_R2_Steam_Cons_600_KLBH,10.801387833333335,0.0
16,STG_R3_Steam_Cons_600_KLBH,5.908613,1.9395278444e-39
17,STG_R4_Steam_Cons_1900_KLBH,56.523784,2.2528329524e-38
18,GT_C1_Power_MW,52.7020745,65.0
19,GT_C2_Power_MW,52.471305666666666,65.0
20,GT_C4_Power_MW,72.20122116666666,85.0
21,GT_C5_Power_MW,62.26569066666667,80.261802886
22,GT_R5_Power_MW,-0.05272033555555555,0.0
23,GT_R6_Power_MW,-0.03853481125925926,0.0
24,STG_C3_Power_MW,30.732297833333334,40.616714302
25,STG_R2_Power_MW,0.0,0.0
26,STG_R3_Power_MW,0.0,0.0
27,STG_R4_Power_MW,-0.0448925795462963,6.9649189746e-41
28,Power_Gen_MW,270.2364421069722,335.87851934
29,BLR_C1_Steam_Gen_1250_LBH,326864.2,575535.25304
30,BLR_C2_Steam_Gen_1250_LBH,454551.50333333336,405912.93429
31,HRSG_C4_Steam_Gen_1250_LBH,226605.28666666665,246530.14709
32,HRSG_C5_Steam_Gen_1250_LBH,224232.72166666668,257440.51307
33,Letdown_1250_TO_400_LBH,0.0,5.5580227383e-07
34,STG_R4_Steam_Gen_600_KLBH,58.254685916666666,38.638445284
35,STG_C3_Steam_Gen_400_LBH,497267.82666666666,750000.0
36,Letdown_1250_TO_400_LBH,0.0,5.5580227383e-07
37,Letdown_From_400_TO_175_LBH,0.0,252732.18083
38,Letdown_From_175_TO_30_LBH,35908.83866666667,271293.4661
