,optimized,actual value,optimized value
0,profit,21060.220467748626,31687.254698
1,power_export_dollar,9104.764521225232,25313.555036
2,total_fuel_within_PH_dollar,14837.98247213717,20419.738757
3,total_power_export_MW,114.03172833333335,317.03713196
4,GT_C1_NG_Flow_SCFH,10255.139116666667,7.7337115823e-36
5,GT_C2_NG_Flow_SCFH,647509.2016666667,753836.93166
6,GT_C4_NG_Flow_SCFH,0.0,0.0
7,GT_C5_NG_Flow_SCFH,913645.025,1000000.0
8,GT_R5_NG_Flow_KPPH,58.723333333333336,85.0
9,GT_R6_NG_Flow_KPPH,59.383333333333326,85.0
10,FHRSG_C1_NG_SCFH,175530.84166666667,374051.9627
11,FHRSG_C2_NG_SCFH,332192.6916666667,573371.59568
12,HRSG_R5_Steam_Gen_1900_KLBH,362.939555,473.71169784
13,HRSG_R6_Steam_Gen_1900_KLBH,389.96082666666666,455.79814858
14,STG_C3_Steam_Cons_1250_LBH,665978.804999999,1088639.7941
15,STG_R2_Steam_Cons_600_KLBH,0.0,1.0822322513e-41
16,STG_R3_Steam_Cons_600_KLBH,5.957441683333333,0.0
17,STG_R4_Steam_Cons_1900_KLBH,880.7358366666667,926.63038143
18,GT_C1_Power_MW,0.096459099,0.0
19,GT_C2_Power_MW,47.748883,65.0
20,GT_C4_Power_MW,2.3619044,0.0
21,GT_C5_Power_MW,71.60049016666666,80.408780807
22,GT_R5_Power_MW,115.395015,183.75032633
23,GT_R6_Power_MW,115.04159499999999,185.04973203
24,STG_C3_Power_MW,16.168194,32.966731057
25,STG_R2_Power_MW,0.0,0.0
26,STG_R3_Power_MW,0.0,1.4162559151e-40
27,STG_R4_Power_MW,42.139970166666664,76.610126098
28,Power_Gen_MW,410.5525108323333,623.78569697
29,BLR_C1_Steam_Gen_1250_LBH,119719.35333333333,251670.95111
30,BLR_C2_Steam_Gen_1250_LBH,475961.6883333333,750000.0
31,HRSG_C4_Steam_Gen_1250_LBH,0.0,0.0
32,HRSG_C5_Steam_Gen_1250_LBH,244314.57333333333,260985.64556
33,Letdown_1250_TO_400_LBH,0.0,5.7993873366e-06
34,STG_R4_Steam_Gen_600_KLBH,459.4964033333333,301.62934001
35,STG_C3_Steam_Gen_400_LBH,156480.52666666667,578933.82245
36,Letdown_1250_TO_400_LBH,0.0,5.7993873366e-06
37,Letdown_From_400_TO_175_LBH,0.0,422453.29579
38,Letdown_From_175_TO_30_LBH,27564.231166666665,380152.89073
