,variable,min,max,opt_value
0,profit,-100000,100000,48425.976361
1,power_export_dollar,0,1000000,33327.150466
2,total_fuel_within_PH_dollar,0,1000000,30787.507314
3,total_power_export_MW,0,360,337.38242881
4,GT_C1_NG_Flow_SCFH,400000,1000000,752023.69776
5,GT_C2_NG_Flow_SCFH,400000,1000000,746895.70461
6,GT_C4_NG_Flow_SCFH,400000,1000000,989870.88322
7,GT_C5_NG_Flow_SCFH,400000,1000000,1000000.0
8,GT_R5_NG_Flow_KPPH,40,90,85.0
9,GT_R6_NG_Flow_KPPH,40,90,85.0
10,FHRSG_C1_NG_SCFH,0,1000000,434652.27027
11,FHRSG_C2_NG_SCFH,0,1000000,176288.2884
12,HRSG_R5_Steam_Gen_1900_KLBH,200,600,458.28980259
13,HRSG_R6_Steam_Gen_1900_KLBH,200,600,451.83822206
14,STG_C3_Steam_Cons_1250_LBH,600000,1400000,1360194.3208
15,STG_R2_Steam_Cons_600_KLBH,10,350,0.0
16,STG_R3_Steam_Cons_600_KLBH,10,350,0.0
17,STG_R4_Steam_Cons_1900_KLBH,450,1100,773.85143713
18,GT_C1_Power_MW,40,70,65.0
19,GT_C2_Power_MW,30,70,65.0
20,GT_C4_Power_MW,30,90,85.0
21,GT_C5_Power_MW,20,90,80.365988713
22,GT_R5_Power_MW,80,200,184.15094056
23,GT_R6_Power_MW,80,200,185.04973203
24,STG_C3_Power_MW,40,70,48.577139704
25,STG_R2_Power_MW,40,70,0.0
26,STG_R3_Power_MW,40,70,0.0
27,STG_R4_Power_MW,40,70,41.242518653
28,Power_Gen_MW,0,800,754.38632179
29,Letdown_1900_TO_600_KLBH,0,1000000,132.86255046
30,BLR_C1_Steam_Gen_1250_LBH,30000,750000,750000.0
31,BLR_C2_Steam_Gen_1250_LBH,30000,700000,516018.59651
32,HRSG_C4_Steam_Gen_1250_LBH,150000,300000,238358.56202
33,HRSG_C5_Steam_Gen_1250_LBH,100000,260000,257630.48134
34,Letdown_1250_TO_400_LBH,0,1400000,235117.52789
35,STG_R4_Steam_Gen_600_KLBH,100000,1000,1000.0
36,STG_C3_Steam_Gen_400_LBH,100000,700000,750000.0
37,Letdown_1250_TO_400_LBH,0,1400000,235117.52789
38,Letdown_From_400_TO_175_LBH,0,1300000,731260.75075
39,Letdown_From_400_TO_175_LBH,0,1300000,731260.75075
40,Letdown_From_175_TO_30_LBH,0,700000,471287.8618
41,STEAM_VENTING_LBH,0,1000000,200000.0
