,variable,min,max,opt_value
0,profit,-100000,100000,100000.0
1,power_export_dollar,0,1000000,16059.777498
2,total_fuel_within_PH_dollar,0,1000000,22895.742866
3,total_power_export_MW,0,360,162.57875824
4,GT_C1_NG_Flow_SCFH,400000,1000000,0.0
5,GT_C2_NG_Flow_SCFH,400000,1000000,686235.79915
6,GT_C4_NG_Flow_SCFH,400000,1000000,865811.63932
7,GT_C5_NG_Flow_SCFH,400000,1000000,884861.41439
8,GT_R5_NG_Flow_KPPH,40,90,67.01099937
9,GT_R6_NG_Flow_KPPH,40,90,64.341420857
10,FHRSG_C1_NG_SCFH,0,1000000,256187.39341
11,FHRSG_C2_NG_SCFH,0,1000000,268780.79219
12,HRSG_R5_Steam_Gen_1900_KLBH,200,600,399.74193444
13,HRSG_R6_Steam_Gen_1900_KLBH,200,600,376.23485212
14,STG_C3_Steam_Cons_1250_LBH,600000,1400000,975175.86618
15,STG_R2_Steam_Cons_600_KLBH,10,350,0.0
16,STG_R3_Steam_Cons_600_KLBH,10,350,0.0
17,STG_R4_Steam_Cons_1900_KLBH,450,1100,773.66725389
18,GT_C1_Power_MW,40,70,0.0
19,GT_C2_Power_MW,30,70,53.504970945
20,GT_C4_Power_MW,30,90,71.20407937
21,GT_C5_Power_MW,20,90,69.037449301
22,GT_R5_Power_MW,80,200,135.23724647
23,GT_R6_Power_MW,80,200,129.21573205
24,STG_C3_Power_MW,40,70,33.559325627
25,STG_R2_Power_MW,40,70,0.0
26,STG_R3_Power_MW,40,70,0.0
27,STG_R4_Power_MW,40,70,46.519738738
28,Power_Gen_MW,0,800,538.27854249
29,Letdown_1900_TO_600_KLBH,0,1000000,0.0
30,BLR_C1_Steam_Gen_1250_LBH,30000,750000,138847.94408
31,BLR_C2_Steam_Gen_1250_LBH,30000,700000,464259.0093
32,HRSG_C4_Steam_Gen_1250_LBH,150000,300000,225356.31534
33,HRSG_C5_Steam_Gen_1250_LBH,100000,260000,240400.53745
34,Letdown_1250_TO_400_LBH,0,1400000,0.0
35,STG_R4_Steam_Gen_600_KLBH,100000,1000,773.60897064
36,STG_C3_Steam_Gen_400_LBH,100000,700000,357374.44249
37,Letdown_From_400_TO_175_LBH,0,1300000,102207.63181
38,Letdown_From_175_TO_30_LBH,0,700000,19.322860463
39,STEAM_VENTING_LBH,0,1000000,0.0
